LotID,Address,,Latitude,Longitude,GeocodeStatus
110,601 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.514772,-111.3676271,Success
111,565 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5145388,-111.3677394,Success
112,551 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.514188,-111.367389,Success
113,537 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5139202,-111.3673255,Success
114,511 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5137089,-111.3676223,Success
115,481 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.51343,-111.36755,Success
116,445 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5131891,-111.3674304,Success
117,427 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5127931,-111.3672288,Success
118,393 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5124614,-111.3672591,Success
119,355 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5121601,-111.3675066,Success
12,150 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5103952,-111.3893371,Success
120,311 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.511991,-111.3679465,Success
121,295 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.51201,-111.36835,Success
122,271 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5118551,-111.3686585,Success
123,330 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5117602,-111.3673859,Success
124,310 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5114819,-111.367451,Success
125,304 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5113071,-111.3678009,Success
126,280 N Red Ledges Boulevard,"[' Heber City', ' UT 84032']",40.5113029,-111.3681835,Success
127,205 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5109956,-111.3689356,Success
128,209 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5106786,-111.3687221,Success
129,223 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.509886,-111.3690079,Success
13,158 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5103952,-111.3893371,Success
130,229 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5098378,-111.3682056,Success
131,235 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5095827,-111.3676576,Success
132,241 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5097895,-111.3666533,Success
133,253 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5097825,-111.3664828,Success
134,206 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5107799,-111.369458,Success
135,212 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5103756,-111.3698117,Success
136,216 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5096375,-111.3697253,Success
137,220 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5092737,-111.3695758,Success
138,224 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5090851,-111.3689603,Success
139,228 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5091009,-111.36843,Success
14,157 N Haystack Mountain Drive,"[' Heber City', ' UT 84032']",40.5097018,-111.3891944,Success
140,234 N Ibapah Peak Drive,"[' Heber City', ' UT 84032']",40.5090619,-111.3675264,Success
186,3155 E Horse Mountain Circle ,"[' Heber City', ' UT 84032']",40.5128779,-111.3639392,Success
